tra_type,nst07,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
HIRE,GT03,THS_T,EL	19741 	17288 	22918 	16948 	17801 	22101 	29866 	20383 	25645 	14681 	18329 	20737 	39353 	33952 	47218 
HIRE,GT03,THS_T,ES	275640 	293580 	247939 	275603 	277956 	252965 	210141 	228148 	208119 	192333 	250564 	376634 	436398 	509591 	644487 
HIRE,GT03,THS_T,EU27_2020	2304918 	2345174 	2199279 	2353516 	2356449 	2226606 	2102174 	2123892 	2134840 	2022092 	2119420 	2504182 	2471083 	2440464 	2906299 
HIRE,GT03,THS_T,FI	59750 	73525 	73337 	76697 	86500 	80973 	77698 	83051 	90397 	90345 	94354 	106437 	115138 	121664 	137895 
HIRE,GT03,THS_T,FR	254528 	255980 	224762 	274946 	257568 	197635 	188583 	195507 	217936 	233988 	228637 	255669 	247124 	244370 	397083 
HIRE,GT03,THS_T,HR	10656 	11111 	11540 	13968 	9094 	8708 	8488 	7562 	7692 	10038 	8578 	12141 	9858 	17286 	24204 
HIRE,GT03,THS_T,HU	10433 	13331 	9600 	11244 	12730 	10286 	11265 	37857 	35379 	25907 	26904 	31187 	36713 	49775 	56615 
HIRE,GT03,THS_T,IE	21922 	23645 	18327 	21203 	19803 	20145 	19845 	13876 	14664 	13736 	11787 	12405 	16188 	24613 	15450 
HIRE,GT03,THS_T,IT	131077 	111104 	100199 	107207 	106619 	87602 	97001 	131147 	105114 	108211 	136244 	184566 	216301 	218276 	216776 
HIRE,GT03,THS_T,LT	6509 	8594 	11333 	8543 	9694 	8676 	6629 	6594 	6818 	5940 	5835 	6255 	5535 	5375 	10913 
HIRE,GT03,THS_T,LU	6203 	6026 	4244 	6507 	6018 	5481 	5937 	4252 	5788 	7253 	7436 	7928 	8607 	7620 	7851 
HIRE,GT03,THS_T,LV	19174 	15558 	15477 	16023 	14230 	12124 	9723 	12903 	14549 	14863 	12706 	10826 	8385 	5890 	16873 
HIRE,GT03,THS_T,ME	: 	53 	40 	27 	35 	30 	33 	: 	: 	: 	: 	: 	: 	: 	: 
