freq,unit,nst07,geo\TIME_PERIOD	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,THS_T,GT06,PL	1414 	1042 	1258 	1154 	1338 	1483 	1756 	1789 	1684 	1926 	2083 	2123 	1979 	1938 	1729 
A,THS_T,GT06,PT	353 	593 	922 	204 	273 	243 	264 	361 	332 	261 	215 	237 	237 	255 	225 
A,THS_T,GT06,RO	828 	399 	794 	1087 	1149 	1404 	1367 	1908 	2481 	3143 	2046 	1715 	2312 	2524 	2077 
A,THS_T,GT06,SE	7212 	7299 	6904 	6917 	6397 	6281 	6754 	6081 	6587 	6912 	7454 	6925 	7179 	7022 	: c
A,THS_T,GT06,SI	1616 	872 	899 	934 	739 	693 	587 	577 	840 	863 	825 	598 	887 	609 	650 
A,THS_T,GT06,SK	858 	416 	428 	431 	339 	320 	353 	291 	529 	323 	408 	394 	360 	425 	388 
A,THS_T,GT06,TR	96 	99 	174 	510 	463 	359 	353 	356 	335 	369 	208 	202 	251 	283 	370 
A,THS_T,GT06,UK	0 	134 	27 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 
A,THS_T,GT07,AT	: c	6625 	6588 	6292 	6384 	5947 	6170 	6235 	5829 	5956 	5794 	6013 	5736 	6163 	7260 
A,THS_T,GT07,BE	2378 	2192 	2788 	2515 	: 	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
A,THS_T,GT07,BG	6730 	5431 	5438 	5399 	4772 	1450 	1048 	1204 	1301 	1775 	2435 	2458 	2367 	4922 	2951 
A,THS_T,GT07,CH	8127 	8465 	7432 	7183 	7419 	7468 	6516 	6729 	6725 	7066 	6214 	6505 	5489 	4904 	4595 
A,THS_T,GT07,CZ	5289 	4850 	5673 	5826 	5193 	5739 	8362 	8904 	8294 	7585 	6558 	7426 	6158 	7673 	7190 
A,THS_T,GT07,DE	51972 	50977 	52097 	49974 	43223 	46818 	42472 	42558 	42928 	38685 	41331 	41334 	37977 	36157 	39956 
A,THS_T,GT07,DK	8 	3 	1 	1 	4 	3 	0 	0 	0 	0 	3 	3 	2 	0 	0 
A,THS_T,GT07,EE	29352 	25394 	20238 	19561 	15879 	15817 	10463 	8141 	4535 	3561 	3951 	4270 	3201 	4699 	4207 
A,THS_T,GT07,EL	324 	296 	291 	265 	287 	221 	116 	92 	102 	163 	139 	47 	73 	44 	36 
A,THS_T,GT07,ES	932 	942 	874 	720 	550 	370 	360 	468 	307 	339 	353 	332 	300 	304 	366 
A,THS_T,GT07,EU27_2020	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: c	: c
A,THS_T,GT07,FI	2106 	2260 	2174 	1747 	1746 	1801 	1664 	1467 	1433 	1234 	1078 	1126 	1282 	1564 	1640 
A,THS_T,GT07,FR	6831 	6684 	5879 	5040 	4767 	6368 	6086 	7300 	6514 	6584 	6586 	5282 	4966 	5894 	5165 
A,THS_T,GT07,HR	1658 	1530 	1597 	1285 	1302 	1311 	1329 	1273 	907 	1198 	1357 	1473 	1306 	1111 	1171 
A,THS_T,GT07,HU	3312 	2610 	2898 	2386 	2252 	4245 	4431 	4145 	3969 	3369 	2803 	3035 	2617 	3298 	3588 
